month,credit_amount,investment_as_income_percentage,residence_since,age,number_of_credits,people_liable_for,sex,status,housing,skill_level,telephone,foreign_worker,installment_plans,other_debtors,credit_history,purpose,savings,employment,property
14,1029,4,4,1,1,1,0,A14,A151,A172,A191,A201,A143,A101,A32,A42,A63,A73,A123
43,3607,4,4,1,2,1,1,A11,A153,A173,A192,A201,A143,A101,A34,A41,A61,A75,A124
28,1248,4,2,1,1,1,0,A13,A153,A173,A192,A201,A143,A101,A32,A43,A62,A75,A124
25,1627,4,2,1,2,1,1,A12,A152,A173,A191,A201,A142,A101,A33,A49,A62,A75,A122
32,2240,4,1,1,1,2,0,A12,A152,A173,A192,A201,A143,A101,A32,A49,A61,A72,A122
17,4651,1,4,1,1,1,0,A14,A153,A173,A191,A201,A143,A101,A32,A40,A63,A75,A124
43,3751,3,2,0,1,1,1,A12,A152,A173,A191,A201,A143,A101,A32,A40,A62,A74,A122
14,2620,4,3,0,2,1,0,A12,A151,A173,A191,A201,A143,A101,A30,A42,A61,A72,A122
10,1100,4,4,0,1,1,0,A12,A152,A173,A191,A201,A143,A101,A32,A43,A61,A75,A121
9,1296,2,2,1,1,2,1,A12,A152,A172,A191,A201,A143,A101,A32,A43,A61,A73,A121
15,434,4,3,1,2,1,1,A14,A152,A174,A192,A201,A141,A101,A34,A43,A63,A75,A122
6,1093,4,4,1,1,1,0,A11,A153,A173,A191,A201,A143,A101,A31,A46,A61,A75,A124
17,1608,4,4,1,1,1,1,A14,A152,A174,A192,A201,A143,A101,A32,A41,A65,A75,A121
9,742,4,4,0,2,1,1,A11,A152,A172,A191,A201,A143,A101,A34,A43,A61,A73,A121
57,9522,4,2,1,1,1,1,A12,A152,A174,A192,A201,A143,A101,A32,A40,A61,A74,A124
25,5036,1,4,1,2,1,1,A14,A152,A173,A191,A201,A143,A101,A34,A41,A65,A75,A123
25,2067,3,2,1,2,2,1,A14,A152,A173,A192,A201,A143,A101,A34,A43,A65,A75,A123
15,1100,4,2,1,1,1,1,A14,A153,A174,A192,A201,A143,A101,A32,A43,A61,A73,A124
21,2120,3,2,1,2,1,1,A13,A152,A173,A192,A201,A143,A101,A34,A43,A65,A73,A123
15,3480,3,4,1,2,1,1,A12,A152,A173,A192,A201,A141,A101,A30,A41,A62,A75,A123
9,831,4,2,1,2,1,1,A13,A152,A174,A192,A201,A143,A101,A30,A43,A61,A72,A123
6,434,4,2,0,1,2,0,A12,A151,A173,A191,A201,A141,A101,A31,A46,A64,A72,A122
14,1119,4,2,0,1,1,0,A11,A152,A172,A191,A201,A143,A101,A32,A40,A61,A73,A121
10,742,4,3,1,1,1,0,A12,A152,A172,A191,A201,A143,A101,A32,A43,A63,A73,A121
32,2276,3,3,0,1,1,0,A14,A151,A173,A191,A201,A143,A101,A32,A40,A61,A73,A121
6,276,2,2,1,2,1,0,A14,A152,A172,A191,A201,A141,A101,A34,A40,A64,A73,A121
13,831,2,2,1,2,1,1,A14,A152,A172,A191,A201,A143,A101,A34,A43,A63,A73,A122
21,1683,4,4,0,2,1,0,A11,A151,A173,A191,A201,A141,A101,A32,A43,A61,A73,A123
57,5592,4,3,1,1,1,0,A12,A151,A173,A191,A201,A143,A101,A31,A49,A61,A75,A124
