Checking-Account,Duration,Credit-history,Purpose,Credit-amount,Savings-account,Present-employment,Installment-rate,Status/sex,Other-debtors,Present-residence,Property,Age,Other-installment,Housing,Existing-credits,Job,liable,Telephone,Foreign-worker,target
1,6,5,4,1,5,5,4,3,1,4,1,2,3,2,2,3,1,2,1,1
2,48,3,4,4,1,3,2,2,1,2,1,1,3,2,1,3,1,1,1,2
4,12,5,7,2,1,4,2,3,1,3,1,2,3,2,1,2,2,1,1,1
1,42,3,3,4,1,4,2,3,3,4,2,2,3,3,1,3,2,1,1,1
1,24,4,1,4,1,3,3,3,1,4,4,2,3,3,2,3,2,1,1,2
4,36,3,7,4,5,3,2,3,1,4,4,2,3,3,1,2,2,2,1,1
4,24,3,3,3,3,5,3,3,1,4,2,2,3,2,1,3,1,1,1,1
2,36,3,2,4,1,3,2,3,1,2,3,2,3,1,1,4,1,2,1,1
4,12,3,4,3,4,4,2,1,1,4,1,2,3,2,1,2,1,1,1,1
2,30,5,1,4,1,1,4,4,1,2,3,2,3,2,2,4,1,1,1,2
2,12,3,1,1,1,2,3,2,1,1,3,2,3,1,1,3,1,1,1,2
1,48,3,10,4,1,2,3,2,1,4,2,1,3,1,1,3,1,1,1,2
2,12,3,4,2,1,3,1,2,1,1,3,1,3,2,1,3,1,2,1,1
1,24,5,1,1,1,5,4,3,1,4,3,2,3,2,2,2,1,1,1,2
1,15,3,1,2,1,3,2,2,1,4,3,2,3,1,1,3,1,1,1,1
1,24,3,4,1,2,3,4,2,1,2,3,2,3,2,1,2,1,1,1,2
4,24,5,4,3,5,5,4,3,1,4,2,2,3,2,2,3,1,1,1,1
1,30,1,10,4,5,2,2,3,1,3,3,2,1,2,3,3,1,1,1,1
2,24,3,2,4,1,5,4,2,1,2,4,2,3,3,1,4,1,2,1,2
4,24,3,4,3,3,5,3,3,1,2,3,2,3,2,1,3,2,2,1,1
4,9,5,1,2,1,3,4,3,1,4,3,2,3,2,3,3,1,2,1,1
1,6,3,4,3,3,3,2,3,1,3,1,2,3,1,1,3,2,1,1,1
1,10,5,1,2,1,2,1,3,1,3,1,2,3,1,2,2,2,1,2,1
2,12,5,2,2,2,2,3,3,1,4,2,2,3,2,1,3,1,1,1,1
4,10,5,3,2,5,3,2,4,1,1,3,2,3,2,2,3,1,1,2,1
1,6,3,3,2,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,1
4,6,1,4,1,1,5,4,4,1,4,3,2,3,2,1,2,1,1,1,1
3,12,2,4,1,4,3,3,2,1,3,1,2,3,1,2,3,1,1,1,1
2,7,3,4,3,1,3,3,3,3,2,1,2,3,2,1,3,1,1,1,1
1,60,4,10,4,1,5,3,3,1,4,4,2,3,2,2,3,1,2,1,2
2,18,3,10,2,4,2,3,4,1,3,1,2,1,2,1,3,1,2,1,1
1,24,3,3,4,1,3,2,3,1,2,3,2,2,2,1,3,1,1,1,1
2,18,3,1,4,2,3,2,3,1,2,3,2,3,2,2,3,1,2,1,1
4,12,5,10,1,5,5,4,3,1,4,4,2,3,1,1,2,1,1,1,1
3,12,3,3,2,1,2,4,2,1,1,2,2,1,2,1,4,1,2,1,1
2,45,5,4,4,1,2,4,3,1,2,2,2,3,2,2,2,1,1,1,2
4,48,5,7,4,1,3,1,3,1,3,4,2,1,3,1,3,1,2,1,1
3,18,3,4,2,1,3,4,3,2,2,1,2,2,2,1,3,1,1,1,2
3,10,3,5,1,1,3,2,3,1,2,3,2,3,2,1,3,1,2,1,1
2,9,3,4,1,1,3,4,3,1,3,1,1,3,2,1,3,1,1,1,1
4,30,3,4,3,3,5,4,3,1,2,3,2,1,2,1,4,1,1,1,1
2,12,3,4,1,3,3,3,1,1,1,3,2,3,2,1,3,1,2,1,1
2,18,4,6,4,1,3,2,3,1,4,1,2,3,2,1,2,2,2,1,1
1,30,5,2,4,2,4,1,4,1,4,3,1,3,1,2,3,1,1,1,1
1,48,5,2,4,1,5,4,2,1,4,4,2,2,3,2,2,1,1,1,2
4,11,5,1,2,1,2,4,2,1,4,3,2,3,2,2,4,1,1,1,1
4,36,3,4,2,3,5,4,3,1,4,3,2,3,2,1,3,1,1,1,1
1,6,3,2,1,3,1,1,2,1,2,2,1,3,1,1,1,1,2,1,1
4,11,5,1,4,1,3,1,3,1,4,2,2,3,2,2,2,1,1,1,1
4,12,3,4,2,2,3,4,2,2,2,1,2,3,2,1,3,1,1,1,1
2,24,4,3,3,5,2,4,3,1,2,2,2,1,2,1,2,1,1,1,1
